HaulID,length,number,SubSamplingFactor
1992DK_055,37,6,1
1992DK_056,24,1,1
1992DK_056,26,2,1
1992DK_056,27,2,1
1992DK_056,31,5,1
1992DK_056,32,3,1
1992DK_056,33,5,1
1992DK_056,34,3,1
1992DK_056,35,3,1
1992DK_056,36,1,1
1992DK_056,37,1,1
1992DK_056,38,2,1
1992DK_056,39,3,1
1992DK_056,40,1,1
1992DK_057,23,1,1
1992DK_057,24,1,1
1992DK_057,25,2,1
1992DK_057,27,4,1
1992DK_057,28,3,1
1992DK_057,29,5,1
1992DK_057,30,4,1
1992DK_057,31,1,1
1992DK_057,32,2,1
1992DK_057,33,6,1
1992DK_057,34,6,1
1992DK_057,35,2,1
1992DK_057,36,3,1
1992DK_057,37,3,1
1992DK_057,38,4,1
1992DK_057,39,2,1
1992DK_057,40,1,1
1992DK_058,23,2,1
1992DK_058,24,1,1
1992DK_058,25,1,1
1992DK_058,27,2,1
1992DK_058,32,1,1
1992DK_058,33,1,1
1992DK_058,34,3,1
1992DK_058,35,4,1
1992DK_058,36,1,1
1992DK_058,37,3,1
1992DK_058,38,3,1
1992DK_058,39,1,1
1992DK_059,21,2,1
1992DK_059,22,1,1
1992DK_059,24,1,1
1992DK_059,25,3,1
1992DK_059,26,1,1
1992DK_059,27,3,1
1992DK_059,28,5,1
1992DK_059,29,3,1
1992DK_059,35,1,1
1992DK_060,22,1,1
1992DK_060,24,2,1
1992DK_060,25,1,1
1992DK_060,26,4,1
1992DK_060,27,1,1
1992DK_060,28,4,1
1992DK_060,29,4,1
1992DK_060,31,2,1
1992DK_061,26,2,1
1992DK_061,27,5,1
1992DK_061,28,5,1
1992DK_061,29,2,1
1992DK_061,30,4,1
1992DK_061,31,5,1
1992DK_061,32,4,1
1992DK_061,33,5,1
1992DK_061,34,6,1
1992DK_061,35,7,1
1992DK_061,36,6,1
1992DK_061,37,1,1
1992DK_061,38,1,1
1992DK_062,25,1,1
1992DK_062,26,2,1
1992DK_062,27,2,1
1992DK_062,28,2,1
1992DK_062,29,2,1
1992DK_062,30,3,1
1992DK_062,31,1,1
1992DK_062,32,2,1
1992DK_062,33,1,1
1992DK_062,34,3,1
1992DK_062,35,9,1
1992DK_062,36,4,1
1992DK_062,37,5,1
1992DK_063,21,1,1
1992DK_063,24,2,1
1992DK_063,25,1,1
1992DK_063,26,1,1
1992DK_063,27,6,1
1992DK_063,28,4,1
1992DK_063,29,4,1
1992DK_063,30,2,1
1992DK_063,31,5,1
1992DK_063,32,10,1
1992DK_063,33,12,1
1992DK_063,34,16,1
1992DK_063,35,11,1
1992DK_063,36,12,1
1992DK_063,37,5,1
1992DK_063,39,1,1
1992DK_064,24,1,1
1992DK_064,25,2,1
1992DK_064,26,2,1
1992DK_064,27,2,1
1992DK_064,28,1,1
1992DK_064,29,1,1
1992DK_064,30,4,1
1992DK_064,31,8,1
1992DK_064,32,25,1
1992DK_064,33,10,1
1992DK_064,34,6,1
1992DK_064,35,8,1
1992DK_064,36,2,1
1992DK_064,37,1,1
1992DK_065,21,1,1
1992DK_065,22,2,1
1992DK_065,23,2,1
1992DK_065,24,6,1
1992DK_065,25,5,1
1992DK_065,26,6,1
1992DK_065,27,4,1
1992DK_065,28,7,1
1992DK_065,29,6,1
1992DK_065,30,4,1
1992DK_065,31,5,1
1992DK_065,32,9,1
1992DK_065,33,5,1
1992DK_065,34,1,1
1992DK_066,22,1,1
1992DK_066,25,1,1
1992DK_066,27,3,1
1992DK_066,28,2,1
1992DK_066,29,7,1
1992DK_066,30,6,1
1992DK_066,31,2,1
1992DK_066,32,4,1
1992DK_066,33,1,1
1992DK_066,34,1,1
1992DK_066,35,2,1
1992DK_067,18,1,1
1992DK_067,19,2,1
1992DK_067,20,2,1
1992DK_067,22,1,1
1992DK_067,23,2,1
1992DK_067,24,2,1
1992DK_067,25,3,1
1992DK_067,28,1,1
1992DK_067,29,4,1
1992DK_067,30,2,1
1992DK_067,31,6,1
1992DK_067,32,2,1
1992DK_067,33,4,1
1992DK_067,34,4,1
1992DK_067,35,4,1
1992DK_068,21,2,1
1992DK_068,24,1,1
1992DK_068,25,4,1
1992DK_068,26,4,1
1992DK_068,27,3,1
1992DK_068,28,5,1
1992DK_068,29,5,1
1992DK_068,30,10,1
1992DK_068,31,10,1
1992DK_068,32,12,1
1992DK_068,33,6,1
1992DK_068,34,9,1
1992DK_068,35,3,1
1992DK_068,36,1,1
1992DK_069,21,2,1
1992DK_069,22,1,1
1992DK_069,23,1,1
1992DK_069,24,4,1
1992DK_069,25,4,1
1992DK_069,26,5,1
1992DK_069,27,10,1
1992DK_069,28,12,1
1992DK_069,29,12,1
1992DK_069,30,23,1
1992DK_069,31,15,1
1992DK_069,32,15,1
