"Rectangle","long","lat","X","X.1","suba","statrec","dummy","L.sqm","year"
"44F2",2.5,57.75,NA,NA,"ce",NA,NA,NA,1992
"44F3",3.5,57.75,NA,NA,"ce",NA,NA,NA,1992
"44F4",4.5,57.75,NA,NA,"ce",NA,NA,NA,1992
"44F5",5.5,57.75,NA,NA,"ce",NA,NA,NA,1992
"44F8",8.5,57.75,NA,NA,"ce",NA,NA,NA,1992
"44F9",9.5,57.75,NA,NA,"ka",NA,NA,NA,1992
"44G0",10.5,57.75,NA,NA,"ka",NA,NA,NA,1992
"44G1",11.5,57.75,NA,NA,"ka",NA,NA,NA,1992
"45E9",-0.5,58.25,NA,NA,"cw",NA,NA,NA,1992
"45F0",0.5,58.25,NA,NA,"cw",NA,NA,NA,1992
"45F1",1.5,58.25,NA,NA,"cw",NA,NA,NA,1992
"45F4",4.5,58.25,NA,NA,"ce",NA,NA,NA,1992
"45F8",8.5,58.25,NA,NA,"ce",NA,NA,NA,1992
"45F9",9.5,58.25,NA,NA,"ka",NA,NA,NA,1992
"45G0",10.5,58.25,NA,NA,"ka",NA,NA,NA,1992
"46E7",-2.5,58.75,NA,NA,"nw",NA,NA,NA,1992
"46E8",-1.5,58.75,NA,NA,"nw",NA,NA,NA,1992
"46F2",2.5,58.75,NA,NA,"ne",NA,NA,NA,1992
"46G0",10.5,58.75,NA,NA,"ka",NA,NA,NA,1992
"47E7",-2.5,59.25,NA,NA,"nw",NA,NA,NA,1992
"47E8",-1.5,59.25,NA,NA,"nw",NA,NA,NA,1992
"47F0",0.5,59.25,NA,NA,"nw",NA,NA,NA,1992
"47F1",1.5,59.25,NA,NA,"nw",NA,NA,NA,1992
"47F2",2.5,59.25,NA,NA,"ne",NA,NA,NA,1992
"47F3",3.5,59.25,NA,NA,"ne",NA,NA,NA,1992
"48F0",0.5,59.75,NA,NA,"nw",NA,NA,NA,1992
"48F1",1.5,59.75,NA,NA,"nw",NA,NA,NA,1992
"48F2",2.5,59.75,NA,NA,"ne",NA,NA,NA,1992
"48F3",3.5,59.75,NA,NA,"ne",NA,NA,NA,1992
"49F0",0.5,60.25,NA,NA,"nw",NA,NA,NA,1992
"49F1",1.5,60.25,NA,NA,"nw",NA,NA,NA,1992
"49F2",2.5,60.25,NA,NA,"ne",NA,NA,NA,1992
"49F3",3.5,60.25,NA,NA,"ne",NA,NA,NA,1992
"50F0",0.5,60.75,NA,NA,"nw",NA,NA,NA,1992
"50F1",1.5,60.75,NA,NA,"nw",NA,NA,NA,1992
"50F2",2.5,60.75,NA,NA,"ne",NA,NA,NA,1992
"50F3",3.5,60.75,NA,NA,"ne",NA,NA,NA,1992
"Rectangle","long","lat","X","X.1","suba","statrec","dummy","L.sqm","year"
